id,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,parentTconst,seasonNumber,episodeNumber,parentTitle,decade
tt0159771,videoGame,Star Trek: Klingon Academy,Star Trek: Klingon Academy,0.0,2000.0,,,"Action,Adventure,Sci-Fi",8.0,86.0,,,,,2000.0
tt0165789,videoGame,Freelancer,Freelancer,0.0,2003.0,,,"Action,Adventure,Mystery",8.9,460.0,,,,,2000.0
tt0190420,videoGame,Giants: Citizen Kabuto,Giants: Citizen Kabuto,0.0,2000.0,,,Action,7.9,109.0,,,,,2000.0
tt0195897,videoGame,MDK 2: Armageddon,MDK II,0.0,2000.0,,,"Action,Comedy,Fantasy",7.6,148.0,,,,,2000.0
tt0200172,videoGame,Star Wars: Episode I - Racer,Star Wars: Episode I - Racer,0.0,2000.0,,,"Action,Sci-Fi",7.5,954.0,,,,,2000.0
tt0201172,videoGame,Star Trek: Armada,Star Trek: Armada,0.0,2000.0,,,"Action,Adventure,Sci-Fi",7.9,188.0,,,,,2000.0
tt0201783,videoGame,Mortal Kombat: Special Forces,Mortal Kombat: Special Forces,0.0,2000.0,,,"Action,Adventure",5.2,88.0,,,,,2000.0
tt0203945,videoGame,Star Trek: Deep Space Nine - The Fallen,Star Trek: Deep Space Nine - The Fallen,0.0,2000.0,,,"Action,Adventure,Sci-Fi",7.3,129.0,,,,,2000.0
tt0203946,videoGame,Star Trek Voyager: Elite Force,Star Trek Voyager: Elite Force,0.0,2000.0,,,"Action,Adventure,Sci-Fi",8.4,420.0,,,,,2000.0
tt0208650,videoGame,TRON 2.0,TRON 2.0,0.0,2003.0,,,"Action,Adventure,Fantasy",8.3,256.0,,,,,2000.0
tt0211381,videoGame,Galleon,Galleon,0.0,2004.0,,,"Action,Adventure,Fantasy",7.4,8.0,,,,,2000.0
tt0214963,videoGame,Mortal Kombat: Deadly Alliance,Mortal Kombat: Deadly Alliance,0.0,2002.0,,,"Action,Fantasy",7.4,981.0,,,,,2000.0
tt0217000,videoGame,Resident Evil: Code: Veronica,Resident Evil: Code: Veronica,0.0,2000.0,,,"Action,Horror,Mystery",8.2,2608.0,,,,,2000.0
tt0217837,videoGame,Tachyon: The Fringe,Tachyon: The Fringe,0.0,2000.0,,,"Action,Adventure",8.4,82.0,,,,,2000.0
tt0224637,videoGame,Forgotten Realms: Baldur's Gate II - Shadows of Amn,Forgotten Realms: Baldur's Gate II - Shadows of Amn,0.0,2000.0,,,"Action,Adventure,Fantasy",9.4,1921.0,,,,,2000.0
tt0225966,videoGame,Forgotten Realms: Icewind Dale,Forgotten Realms: Icewind Dale,0.0,2000.0,,,"Adventure,Fantasy",7.8,621.0,,,,,2000.0
tt0230336,videoGame,Invictus: In the Shadow of Olympus,Invictus,0.0,2000.0,,,Adventure,6.0,8.0,,,,,2000.0
tt0232531,videoGame,Resident Evil Zero,Biohazard Ø,0.0,2002.0,,,"Action,Adventure,Horror",7.9,1852.0,,,,,2000.0
tt0232532,videoGame,Resident Evil: Survivor,Biohazard: Gun Survivor,0.0,2000.0,,,"Action,Horror,Mystery",5.4,402.0,,,,,2000.0
tt0238971,videoGame,Evil Dead: Hail to the King,Evil Dead: Hail to the King,0.0,2000.0,,,"Action,Adventure,Comedy",7.0,365.0,,,,,2000.0
tt0239961,videoGame,Legend of Mana,Seiken densetsu: Legend of Mana,0.0,2000.0,,,"Action,Adventure,Drama",8.4,97.0,,,,,2000.0
tt0240726,videoGame,Micro Maniacs,Micro Maniacs,0.0,2000.0,,,"Action,Sci-Fi",7.0,22.0,,,,,2000.0
tt0241986,videoGame,Star Wars: Episode I - Jedi Power Battles,Star Wars: Episode I - Jedi Power Battles,0.0,2000.0,,,"Action,Adventure,Fantasy",7.0,240.0,,,,,2000.0
tt0243567,videoGame,Soldier of Fortune,Soldier of Fortune,0.0,2000.0,,,"Action,Adventure",8.0,455.0,,,,,2000.0
tt0243896,videoGame,Fear Effect,Fear Effect,0.0,2000.0,,,"Action,Adventure,Fantasy",8.3,193.0,,,,,2000.0
tt0243969,videoGame,Fighting Mania: Fist of the North Star,Hokuto no Ken: Punch Mania,0.0,2000.0,,,,7.6,9.0,,,,,2000.0
tt0244654,videoGame,Mega Man Legends 2,Rockman DASH 2,0.0,2000.0,,,"Action,Adventure,Comedy",8.5,72.0,,,,,2000.0
tt0244841,videoGame,Thief II: The Metal Age,Thief II: The Metal Age,0.0,2000.0,,,"Action,Adventure,Crime",8.9,446.0,,,,,2000.0
tt0245097,videoGame,Escape from Monkey Island,Escape from Monkey Island,0.0,2000.0,,,"Adventure,Comedy,Fantasy",8.0,1238.0,,,,,2000.0
